TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6
0.0,0.27,0.0,0.067,0.084,0.17,0.14,0.069,0.279,0.047,0.0,0.046,0.017,0.033,0.379,0.384,0.021,0.307,0.0,0.033,0.027000000000000003,0.027000000000000003,0.363,0.113,0.117,0.106,0.0,0.034,0.067,0.239,0.413,0.053,0.0,0.041,0.0,0.054000000000000006,0.536,0.054000000000000006,0.08,0.059,0.029,0.043,0.0
1.0,0.18600000000000005,0.0,0.076,0.599,0.023,0.014,0.103,0.627,0.127,0.0,0.046,0.03,0.086,0.084,0.63,0.047,0.146,0.0,0.07,0.043,0.064,0.721,0.014,0.104,0.071,0.0,0.046,0.043,0.3,0.519,0.066,0.0,0.049,0.0,0.067,0.183,0.084,0.593,0.07,0.046,0.024,0.0
2.0,0.239,0.0,0.064,0.179,0.426,0.011,0.081,0.65,0.123,0.0,0.043,0.029,0.084,0.071,0.304,0.036000000000000004,0.536,0.0,0.043,0.043,0.039,0.727,0.014,0.101,0.071,0.0,0.043,0.043,0.33,0.499,0.06,0.0,0.051,0.0,0.06,0.16,0.094,0.6,0.059,0.044,0.043,0.0
3.0,0.29600000000000004,0.0,0.126,0.07,0.35600000000000004,0.027000000000000003,0.126,0.674,0.129,0.0,0.037000000000000005,0.034,0.083,0.043,0.34,0.051,0.464,0.0,0.047,0.047,0.05,0.7340000000000001,0.014,0.1,0.071,0.0,0.037000000000000005,0.043,0.327,0.496,0.061,0.0,0.056,0.0,0.06,0.274,0.113,0.399,0.121,0.046,0.047,0.0
4.0,0.203,0.0,0.353,0.116,0.097,0.026,0.206,0.564,0.134,0.0,0.056,0.054000000000000006,0.096,0.096,0.643,0.084,0.09,0.0,0.071,0.043,0.069,0.509,0.101,0.129,0.113,0.0,0.047,0.101,0.231,0.5670000000000001,0.076,0.0,0.057,0.0,0.069,0.267,0.12,0.13699999999999998,0.299,0.113,0.064,0.0
5.0,0.111,0.0,0.149,0.08,0.383,0.166,0.111,0.61,0.114,0.0,0.054000000000000006,0.043,0.086,0.093,0.64,0.08900000000000001,0.096,0.0,0.07,0.043,0.063,0.157,0.053,0.096,0.126,0.0,0.054000000000000006,0.514,0.203,0.569,0.09,0.003,0.053,0.0,0.083,0.257,0.079,0.456,0.097,0.057,0.054000000000000006,0.0
6.0,0.63,0.0,0.119,0.046,0.057,0.106,0.043,0.627,0.127,0.0,0.054000000000000006,0.034,0.08900000000000001,0.069,0.6559999999999999,0.093,0.08900000000000001,0.0,0.069,0.043,0.051,0.224,0.036000000000000004,0.061,0.08900000000000001,0.0,0.043,0.547,0.269,0.511,0.08,0.0,0.059,0.0,0.081,0.126,0.086,0.634,0.071,0.056,0.027000000000000003,0.0
7.0,0.459,0.0,0.124,0.044,0.064,0.244,0.064,0.597,0.123,0.0,0.069,0.044,0.093,0.07400000000000001,0.643,0.091,0.086,0.0,0.071,0.043,0.066,0.29100000000000004,0.081,0.17,0.196,0.0,0.064,0.197,0.141,0.07400000000000001,0.061,0.0,0.033,0.0,0.69,0.129,0.084,0.633,0.073,0.054000000000000006,0.027000000000000003,0.0
8.0,0.637,0.0,0.121,0.049,0.056,0.083,0.054000000000000006,0.67,0.12,0.0,0.043,0.043,0.077,0.047,0.643,0.087,0.086,0.0,0.071,0.043,0.07,0.451,0.096,0.103,0.123,0.0,0.063,0.16399999999999998,0.22,0.04,0.047,0.0,0.027000000000000003,0.0,0.6659999999999999,0.331,0.083,0.48,0.059,0.033,0.014,0.0
9.0,0.499,0.0,0.114,0.056,0.047,0.21,0.07400000000000001,0.706,0.096,0.0,0.056,0.029,0.07,0.044,0.6459999999999999,0.081,0.093,0.0,0.071,0.043,0.066,0.33,0.084,0.159,0.22,0.0,0.08,0.127,0.219,0.423,0.079,0.003,0.051,0.0,0.226,0.204,0.076,0.556,0.077,0.056,0.031,0.0
10.0,0.307,0.0,0.099,0.039,0.043,0.411,0.101,0.489,0.084,0.0,0.059,0.047,0.057,0.264,0.6509999999999999,0.094,0.091,0.0,0.067,0.043,0.053,0.436,0.087,0.096,0.124,0.0,0.061,0.196,0.329,0.479,0.076,0.0,0.051,0.0,0.066,0.6729999999999999,0.049,0.094,0.093,0.04,0.051,0.0
11.0,0.111,0.0,0.134,0.03,0.043,0.611,0.07,0.5710000000000001,0.116,0.0,0.044,0.034,0.083,0.151,0.643,0.101,0.1,0.0,0.057,0.043,0.056,0.29,0.084,0.306,0.131,0.0,0.043,0.146,0.211,0.211,0.069,0.004,0.026,0.0,0.479,0.334,0.041,0.479,0.076,0.03,0.04,0.0
12.0,0.389,0.0,0.086,0.034,0.043,0.35100000000000003,0.097,0.75,0.093,0.0,0.023,0.031,0.06,0.043,0.721,0.079,0.079,0.0,0.047,0.031,0.043,0.45,0.101,0.104,0.124,0.0,0.121,0.099,0.376,0.043,0.041,0.001,0.046,0.0,0.493,0.557,0.024,0.317,0.054000000000000006,0.021,0.026,0.0
13.0,0.619,0.0,0.054000000000000006,0.064,0.04,0.064,0.159,0.8170000000000001,0.066,0.0,0.016,0.027000000000000003,0.043,0.031,0.763,0.046,0.103,0.0,0.041,0.019,0.029,0.511,0.111,0.093,0.124,0.0,0.043,0.117,0.463,0.09,0.056,0.014,0.063,0.0,0.314,0.826,0.033,0.04,0.043,0.021,0.037000000000000005,0.0
14.0,0.154,0.0,0.07400000000000001,0.064,0.0,0.014,0.693,0.604,0.197,0.0,0.051,0.037000000000000005,0.047,0.063,0.696,0.066,0.08900000000000001,0.0,0.064,0.029,0.057,0.273,0.044,0.051,0.081,0.0,0.054000000000000006,0.496,0.381,0.38,0.077,0.021,0.063,0.0,0.077,0.73,0.049,0.057,0.083,0.05,0.031,0.0
15.0,0.226,0.0,0.054000000000000006,0.054000000000000006,0.0,0.016,0.65,0.787,0.077,0.0,0.03,0.029,0.04,0.037000000000000005,0.82,0.04,0.05,0.0,0.04,0.026,0.024,0.569,0.114,0.094,0.09,0.0,0.049,0.084,0.481,0.331,0.06,0.026,0.053,0.0,0.049,0.7809999999999999,0.044,0.05,0.063,0.029,0.033,0.0
16.0,0.299,0.0,0.07400000000000001,0.057,0.013,0.019,0.539,0.883,0.041,0.0,0.017,0.016,0.019,0.024,0.96,0.01,0.013,0.0,0.01,0.006999999999999999,0.0,0.883,0.004,0.054000000000000006,0.029,0.0,0.01,0.02,0.536,0.193,0.041,0.019,0.05,0.0,0.161,0.8240000000000001,0.013,0.14300000000000002,0.016,0.004,0.0,0.0
17.0,0.454,0.0,0.07,0.044,0.014,0.011,0.406,0.85,0.05,0.0,0.029,0.014,0.024,0.033,0.894,0.023,0.036000000000000004,0.0,0.023,0.017,0.006999999999999999,0.861,0.006,0.061,0.034,0.0,0.014,0.023,0.381,0.104,0.081,0.029,0.077,0.0,0.327,0.82,0.034,0.067,0.033,0.031,0.014,0.0
18.0,0.6629999999999999,0.0,0.027000000000000003,0.02,0.01,0.006,0.274,0.8370000000000001,0.051,0.0,0.027000000000000003,0.019,0.024,0.041,0.884,0.024,0.033,0.0,0.029,0.016,0.014,0.8240000000000001,0.006,0.071,0.046,0.0,0.019,0.034,0.297,0.057,0.039,0.001,0.04,0.0,0.5660000000000001,0.5329999999999999,0.049,0.353,0.054000000000000006,0.01,0.001,0.0
