TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6
0.0,0.023,0.0,0.12,0.033,0.024,0.459,0.141,0.056,0.322,0.0,0.061,0.151,0.185,0.124,0.027000000000000003,0.29,0.041,0.0,0.049,0.302,0.192,0.073,0.202,0.139,0.033,0.0,0.16699999999999998,0.18600000000000005,0.073,0.294,0.063,0.026,0.109,0.0,0.236,0.051,0.502,0.061,0.059,0.056,0.171,0.0
1.0,0.029,0.0,0.149,0.05,0.029,0.586,0.158,0.041,0.4320000000000001,0.0,0.076,0.037000000000000005,0.209,0.204,0.016,0.197,0.114,0.0,0.066,0.116,0.4920000000000001,0.094,0.188,0.207,0.043,0.0,0.215,0.253,0.08,0.359,0.103,0.046,0.066,0.0,0.34700000000000003,0.046,0.638,0.07,0.047,0.08,0.119,0.0
2.0,0.029,0.0,0.151,0.057,0.029,0.586,0.149,0.05,0.295,0.0,0.063,0.037000000000000005,0.175,0.38,0.01,0.105,0.099,0.0,0.327,0.1,0.36,0.096,0.197,0.204,0.04,0.0,0.212,0.252,0.257,0.374,0.1,0.061,0.036000000000000004,0.0,0.172,0.05,0.607,0.08,0.053,0.086,0.125,0.0
3.0,0.034,0.0,0.151,0.041,0.029,0.586,0.159,0.034,0.261,0.0,0.06,0.24,0.146,0.259,0.041,0.166,0.107,0.0,0.116,0.152,0.419,0.087,0.229,0.218,0.041,0.0,0.197,0.227,0.066,0.29600000000000004,0.101,0.046,0.316,0.0,0.17600000000000002,0.044,0.667,0.07,0.041,0.086,0.091,0.0
4.0,0.036000000000000004,0.0,0.188,0.019,0.039,0.536,0.184,0.036000000000000004,0.191,0.0,0.061,0.474,0.111,0.127,0.04,0.208,0.078,0.0,0.106,0.219,0.349,0.093,0.214,0.195,0.043,0.0,0.206,0.249,0.044,0.47,0.114,0.037000000000000005,0.16899999999999998,0.0,0.166,0.041,0.536,0.104,0.061,0.103,0.154,0.0
5.0,0.029,0.0,0.17600000000000002,0.029,0.036000000000000004,0.551,0.18,0.041,0.423,0.0,0.081,0.204,0.14400000000000002,0.106,0.046,0.185,0.078,0.0,0.18600000000000005,0.16,0.34600000000000003,0.07,0.227,0.241,0.02,0.0,0.241,0.201,0.059,0.326,0.19,0.054000000000000006,0.07400000000000001,0.0,0.297,0.047,0.6409999999999999,0.08,0.044,0.103,0.085,0.0
6.0,0.034,0.0,0.205,0.027000000000000003,0.039,0.434,0.261,0.029,0.29100000000000004,0.0,0.049,0.476,0.063,0.093,0.003,0.08800000000000001,0.078,0.0,0.54,0.145,0.146,0.067,0.175,0.305,0.021,0.0,0.22,0.211,0.049,0.194,0.213,0.063,0.063,0.0,0.418,0.054000000000000006,0.628,0.079,0.046,0.099,0.094,0.0
7.0,0.01,0.0,0.324,0.053,0.047,0.027000000000000003,0.539,0.029,0.197,0.0,0.039,0.506,0.066,0.16399999999999998,0.011,0.071,0.112,0.0,0.401,0.099,0.305,0.014,0.052000000000000005,0.29,0.006,0.0,0.025,0.613,0.036000000000000004,0.416,0.133,0.037000000000000005,0.027000000000000003,0.0,0.35100000000000003,0.056,0.418,0.134,0.111,0.1,0.181,0.0
8.0,0.004,0.0,0.322,0.06,0.044,0.041,0.528,0.059,0.232,0.0,0.071,0.129,0.127,0.383,0.017,0.071,0.14800000000000002,0.0,0.196,0.086,0.482,0.019,0.031,0.327,0.006999999999999999,0.0,0.035,0.5820000000000001,0.03,0.061,0.124,0.04,0.551,0.0,0.193,0.056,0.275,0.353,0.076,0.094,0.146,0.0
9.0,0.013,0.0,0.187,0.024,0.03,0.019,0.728,0.01,0.07400000000000001,0.0,0.014,0.019,0.033,0.85,0.013,0.036000000000000004,0.085,0.0,0.03,0.026,0.8109999999999999,0.059,0.1,0.262,0.003,0.0,0.223,0.354,0.014,0.019,0.109,0.029,0.636,0.0,0.194,0.059,0.31,0.289,0.077,0.091,0.174,0.0
10.0,0.009000000000000001,0.0,0.26,0.04,0.033,0.017,0.6409999999999999,0.026,0.506,0.0,0.067,0.031,0.101,0.269,0.013,0.095,0.115,0.0,0.064,0.033,0.68,0.061,0.147,0.29,0.001,0.0,0.236,0.264,0.07,0.179,0.122,0.039,0.387,0.0,0.204,0.047,0.257,0.381,0.091,0.086,0.13699999999999998,0.0
11.0,0.004,0.0,0.153,0.016,0.029,0.004,0.794,0.103,0.138,0.0,0.056,0.056,0.349,0.299,0.04,0.28300000000000003,0.162,0.0,0.079,0.07400000000000001,0.363,0.046,0.07,0.389,0.01,0.0,0.106,0.38,0.014,0.029,0.119,0.033,0.6459999999999999,0.0,0.16,0.174,0.234,0.277,0.09,0.093,0.132,0.0
12.0,0.003,0.0,0.132,0.014,0.029,0.003,0.82,0.013,0.16899999999999998,0.0,0.046,0.017,0.075,0.68,0.03,0.448,0.13699999999999998,0.0,0.066,0.07200000000000001,0.248,0.031,0.068,0.355,0.014,0.0,0.093,0.4370000000000001,0.017,0.183,0.112,0.033,0.474,0.0,0.181,0.547,0.155,0.076,0.077,0.06,0.085,0.0
13.0,0.009000000000000001,0.0,0.152,0.014,0.029,0.006,0.7909999999999999,0.017,0.496,0.0,0.077,0.017,0.093,0.3,0.019,0.5429999999999999,0.185,0.0,0.067,0.053,0.134,0.043,0.106,0.319,0.014,0.0,0.097,0.421,0.033,0.344,0.147,0.024,0.184,0.0,0.267,0.614,0.17800000000000002,0.043,0.061,0.036000000000000004,0.068,0.0
14.0,0.006999999999999999,0.0,0.165,0.014,0.029,0.006999999999999999,0.778,0.016,0.423,0.0,0.076,0.023,0.1,0.363,0.027000000000000003,0.647,0.168,0.0,0.027000000000000003,0.033,0.098,0.043,0.122,0.326,0.014,0.0,0.109,0.385,0.156,0.29,0.131,0.036000000000000004,0.133,0.0,0.255,0.163,0.172,0.151,0.324,0.067,0.122,0.0
15.0,0.013,0.0,0.175,0.014,0.029,0.01,0.76,0.084,0.188,0.0,0.071,0.029,0.201,0.4270000000000001,0.014,0.619,0.155,0.0,0.046,0.039,0.126,0.059,0.07400000000000001,0.273,0.016,0.0,0.108,0.469,0.126,0.301,0.14400000000000002,0.043,0.067,0.0,0.319,0.024,0.116,0.171,0.403,0.09,0.195,0.0
16.0,0.013,0.0,0.244,0.029,0.03,0.014,0.6709999999999999,0.04,0.293,0.0,0.079,0.036000000000000004,0.321,0.231,0.029,0.211,0.135,0.0,0.099,0.1,0.4270000000000001,0.024,0.362,0.27,0.01,0.0,0.13699999999999998,0.197,0.044,0.094,0.17,0.04,0.046,0.0,0.606,0.043,0.132,0.493,0.08900000000000001,0.08,0.16399999999999998,0.0
17.0,0.011,0.0,0.222,0.03,0.03,0.079,0.628,0.031,0.311,0.0,0.071,0.043,0.293,0.25,0.006999999999999999,0.036000000000000004,0.12,0.0,0.383,0.093,0.361,0.0,0.332,0.377,0.006,0.0,0.107,0.179,0.046,0.086,0.16899999999999998,0.043,0.043,0.0,0.614,0.053,0.115,0.579,0.103,0.094,0.056,0.0
18.0,0.023,0.0,0.203,0.029,0.04,0.509,0.197,0.027000000000000003,0.412,0.0,0.083,0.036000000000000004,0.35,0.091,0.021,0.14800000000000002,0.109,0.0,0.257,0.119,0.345,0.003,0.254,0.487,0.026,0.0,0.08800000000000001,0.14300000000000002,0.056,0.121,0.171,0.034,0.041,0.0,0.5760000000000001,0.041,0.158,0.514,0.114,0.087,0.085,0.0
19.0,0.023,0.0,0.19,0.029,0.039,0.51,0.21,0.04,0.317,0.0,0.104,0.036000000000000004,0.415,0.087,0.026,0.113,0.098,0.0,0.091,0.07400000000000001,0.597,0.0,0.364,0.379,0.016,0.0,0.096,0.145,0.051,0.161,0.175,0.034,0.156,0.0,0.422,0.06,0.18600000000000005,0.3670000000000001,0.14,0.113,0.134,0.0
20.0,0.029,0.0,0.184,0.029,0.041,0.534,0.183,0.056,0.36,0.0,0.1,0.05,0.318,0.116,0.017,0.114,0.109,0.0,0.067,0.028,0.665,0.0,0.417,0.336,0.013,0.0,0.099,0.135,0.036000000000000004,0.271,0.136,0.021,0.047,0.0,0.488,0.04,0.317,0.25,0.077,0.086,0.23,0.0
