TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
0.0,0.01,0.0,0.16399999999999998,0.061,0.021,0.031,0.063,0.449,0.014,0.031,0.0,0.06,0.203,0.123,0.124,0.244,0.059,0.266,0.05,0.0,0.051,0.081,0.044,0.249,0.001,0.496,0.06,0.031,0.0,0.038,0.004,0.16899999999999998,0.02,0.041,0.099,0.037000000000000005,0.047,0.0,0.094,0.461,0.014,0.033,0.069,0.53,0.051,0.045,0.0,0.057,0.013,0.044,0.093,0.057,0.051,0.26,0.281,0.0
1.0,0.014,0.0,0.029,0.049,0.033,0.038,0.071,0.7659999999999999,0.043,0.036000000000000004,0.0,0.054000000000000006,0.033,0.103,0.243,0.488,0.024,0.611,0.053,0.0,0.033,0.061,0.013,0.205,0.0,0.619,0.081,0.033,0.0,0.051,0.0,0.21600000000000005,0.027000000000000003,0.044,0.11,0.029,0.039,0.0,0.111,0.64,0.011,0.016,0.446,0.307,0.05,0.058,0.0,0.112,0.29,0.064,0.093,0.07,0.071,0.293,0.119,0.0
2.0,0.027000000000000003,0.0,0.031,0.024,0.03,0.049,0.073,0.765,0.104,0.073,0.0,0.043,0.006999999999999999,0.095,0.014,0.664,0.014,0.703,0.063,0.0,0.014,0.042,0.001,0.162,0.001,0.6,0.087,0.04,0.0,0.051,0.003,0.218,0.02,0.023,0.087,0.023,0.026,0.0,0.07400000000000001,0.747,0.017,0.01,0.506,0.25,0.039,0.065,0.0,0.113,0.56,0.06,0.084,0.081,0.041,0.079,0.094,0.0
3.0,0.023,0.0,0.03,0.023,0.029,0.038,0.084,0.773,0.069,0.05,0.0,0.027000000000000003,0.019,0.07400000000000001,0.003,0.759,0.014,0.696,0.057,0.0,0.014,0.058,0.006,0.155,0.051,0.077,0.066,0.446,0.0,0.054000000000000006,0.003,0.304,0.0,0.0,0.047,0.0,0.004,0.0,0.02,0.929,0.01,0.006999999999999999,0.416,0.334,0.034,0.052000000000000005,0.0,0.147,0.59,0.051,0.079,0.08,0.037000000000000005,0.079,0.084,0.0
4.0,0.031,0.0,0.039,0.067,0.027000000000000003,0.09,0.083,0.6629999999999999,0.049,0.056,0.0,0.023,0.013,0.054000000000000006,0.0,0.8059999999999999,0.02,0.647,0.057,0.0,0.019,0.065,0.016,0.177,0.02,0.047,0.066,0.03,0.0,0.112,0.021,0.7040000000000001,0.006,0.011,0.327,0.066,0.01,0.0,0.009000000000000001,0.5710000000000001,0.024,0.039,0.104,0.574,0.056,0.065,0.0,0.138,0.5770000000000001,0.057,0.086,0.081,0.033,0.079,0.087,0.0
5.0,0.083,0.0,0.049,0.07,0.041,0.119,0.077,0.561,0.056,0.051,0.0,0.043,0.011,0.076,0.14,0.623,0.034,0.604,0.056,0.0,0.026,0.059,0.019,0.203,0.033,0.031,0.073,0.034,0.0,0.1,0.027000000000000003,0.701,0.013,0.026,0.449,0.093,0.014,0.0,0.029,0.377,0.056,0.067,0.17600000000000002,0.23,0.07400000000000001,0.118,0.0,0.279,0.5710000000000001,0.057,0.084,0.08,0.05,0.067,0.09,0.0
6.0,0.5,0.0,0.009000000000000001,0.063,0.039,0.108,0.033,0.249,0.06,0.064,0.0,0.026,0.0,0.053,0.0,0.797,0.043,0.519,0.059,0.0,0.036000000000000004,0.066,0.026,0.252,0.029,0.03,0.064,0.027000000000000003,0.0,0.085,0.026,0.7390000000000001,0.009000000000000001,0.013,0.183,0.03,0.01,0.0,0.04,0.716,0.019,0.014,0.607,0.083,0.034,0.061,0.0,0.182,0.539,0.06,0.08900000000000001,0.08,0.056,0.08,0.097,0.0
7.0,0.289,0.0,0.061,0.09,0.053,0.121,0.046,0.34,0.063,0.054000000000000006,0.0,0.02,0.0,0.064,0.0,0.799,0.07,0.281,0.06,0.0,0.044,0.118,0.053,0.373,0.019,0.029,0.06,0.026,0.0,0.073,0.026,0.768,0.006999999999999999,0.01,0.366,0.059,0.011,0.0,0.02,0.527,0.03,0.033,0.35,0.217,0.059,0.084,0.0,0.227,0.547,0.054000000000000006,0.083,0.084,0.053,0.08,0.099,0.0
8.0,0.03,0.0,0.021,0.034,0.01,0.087,0.044,0.773,0.05,0.047,0.0,0.006,0.0,0.047,0.004,0.845,0.04,0.476,0.046,0.0,0.029,0.106,0.024,0.28,0.001,0.014,0.044,0.014,0.0,0.067,0.014,0.8440000000000001,0.0,0.0,0.06,0.0,0.0,0.0,0.003,0.937,0.039,0.047,0.087,0.441,0.059,0.075,0.0,0.252,0.364,0.094,0.111,0.086,0.077,0.117,0.15,0.0
9.0,0.033,0.0,0.017,0.01,0.016,0.032,0.054000000000000006,0.838,0.106,0.25,0.0,0.023,0.019,0.071,0.02,0.512,0.021,0.636,0.053,0.0,0.017,0.07,0.013,0.19,0.019,0.03,0.053,0.021,0.0,0.06,0.026,0.7909999999999999,0.004,0.01,0.211,0.043,0.004,0.0,0.006999999999999999,0.72,0.02,0.029,0.096,0.606,0.04,0.055,0.0,0.155,0.573,0.057,0.086,0.084,0.03,0.084,0.086,0.0
