TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6
0.0,0.026,0.0,0.064,0.451,0.101,0.047,0.11,0.013,0.053,0.0,0.41,0.047,0.02,0.257,0.091,0.07,0.1,0.0,0.387,0.034,0.117,0.059,0.09,0.163,0.29600000000000004,0.0,0.07400000000000001,0.119,0.31,0.034,0.037000000000000005,0.251,0.026,0.0,0.142,0.067,0.02,0.054000000000000006,0.546,0.069,0.044,0.0
1.0,0.013,0.0,0.09,0.165,0.529,0.059,0.145,0.037000000000000005,0.099,0.0,0.442,0.08,0.051,0.29100000000000004,0.114,0.087,0.126,0.0,0.483,0.043,0.147,0.393,0.111,0.097,0.204,0.0,0.071,0.123,0.444,0.064,0.046,0.14800000000000002,0.049,0.0,0.249,0.071,0.024,0.153,0.62,0.084,0.047,0.0
2.0,0.046,0.0,0.084,0.303,0.254,0.13,0.183,0.037000000000000005,0.093,0.0,0.503,0.086,0.054000000000000006,0.227,0.087,0.131,0.116,0.0,0.217,0.051,0.397,0.16699999999999998,0.146,0.1,0.325,0.0,0.103,0.159,0.409,0.043,0.049,0.265,0.043,0.0,0.192,0.066,0.016,0.146,0.6409999999999999,0.086,0.046,0.0
3.0,0.096,0.0,0.076,0.34600000000000003,0.117,0.097,0.268,0.027000000000000003,0.091,0.0,0.361,0.124,0.071,0.324,0.156,0.09,0.106,0.0,0.514,0.051,0.083,0.077,0.157,0.33,0.227,0.0,0.083,0.126,0.444,0.053,0.05,0.179,0.057,0.0,0.217,0.083,0.183,0.207,0.414,0.064,0.049,0.0
4.0,0.1,0.0,0.073,0.295,0.126,0.104,0.302,0.05,0.08900000000000001,0.0,0.249,0.277,0.073,0.262,0.17600000000000002,0.363,0.13699999999999998,0.0,0.184,0.064,0.076,0.076,0.191,0.084,0.429,0.0,0.067,0.153,0.46,0.063,0.057,0.115,0.064,0.0,0.241,0.047,0.534,0.326,0.044,0.039,0.01,0.0
5.0,0.184,0.0,0.07400000000000001,0.299,0.079,0.101,0.263,0.03,0.04,0.0,0.13,0.126,0.324,0.35,0.189,0.47,0.153,0.0,0.08900000000000001,0.04,0.06,0.08900000000000001,0.174,0.073,0.452,0.0,0.063,0.149,0.496,0.069,0.063,0.118,0.056,0.0,0.199,0.043,0.687,0.194,0.033,0.043,0.0,0.0
6.0,0.17600000000000002,0.0,0.071,0.274,0.099,0.107,0.273,0.037000000000000005,0.019,0.0,0.12,0.069,0.239,0.517,0.194,0.353,0.196,0.0,0.12,0.057,0.08,0.34700000000000003,0.119,0.104,0.269,0.0,0.05,0.111,0.486,0.067,0.069,0.117,0.061,0.0,0.201,0.046,0.69,0.183,0.039,0.043,0.0,0.0
7.0,0.134,0.0,0.067,0.263,0.091,0.08900000000000001,0.355,0.07,0.086,0.0,0.354,0.099,0.09,0.301,0.16699999999999998,0.476,0.13699999999999998,0.0,0.123,0.037000000000000005,0.06,0.191,0.126,0.073,0.428,0.0,0.04,0.142,0.483,0.066,0.046,0.129,0.057,0.0,0.219,0.044,0.7,0.17600000000000002,0.037000000000000005,0.043,0.0,0.0
8.0,0.047,0.0,0.019,0.151,0.031,0.041,0.71,0.064,0.114,0.0,0.487,0.079,0.044,0.212,0.153,0.4,0.141,0.0,0.193,0.041,0.071,0.017,0.153,0.026,0.6509999999999999,0.0,0.014,0.139,0.447,0.057,0.043,0.173,0.041,0.0,0.239,0.03,0.517,0.209,0.227,0.016,0.001,0.0
9.0,0.057,0.0,0.049,0.279,0.047,0.047,0.521,0.049,0.087,0.0,0.305,0.077,0.061,0.421,0.157,0.276,0.217,0.0,0.153,0.057,0.14,0.047,0.139,0.047,0.5329999999999999,0.0,0.071,0.163,0.44,0.071,0.046,0.17,0.054000000000000006,0.0,0.218,0.041,0.107,0.3670000000000001,0.423,0.036000000000000004,0.026,0.0
10.0,0.056,0.0,0.141,0.191,0.32,0.084,0.208,0.037000000000000005,0.027000000000000003,0.0,0.134,0.056,0.101,0.645,0.166,0.214,0.156,0.0,0.28300000000000003,0.059,0.123,0.053,0.081,0.049,0.129,0.0,0.399,0.289,0.426,0.066,0.056,0.125,0.053,0.0,0.275,0.054000000000000006,0.043,0.18,0.609,0.071,0.043,0.0
