TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
0.0,0.12,0.0,0.076,0.236,0.046,0.204,0.023,0.096,0.006999999999999999,0.073,0.0,0.051,0.29600000000000004,0.081,0.213,0.079,0.013,0.04,0.03,0.0,0.081,0.024,0.071,0.54,0.011,0.047,0.027000000000000003,0.064,0.0,0.021,0.047,0.581,0.079,0.031,0.063,0.054000000000000006,0.066,0.0,0.153,0.354,0.027000000000000003,0.511,0.08,0.083,0.049,0.039,0.0,0.011,0.061,0.037000000000000005,0.003,0.023,0.569,0.084,0.023,0.0
1.0,0.17600000000000002,0.0,0.097,0.114,0.086,0.223,0.069,0.236,0.0,0.079,0.0,0.059,0.084,0.031,0.6559999999999999,0.091,0.006,0.063,0.05,0.0,0.057,0.059,0.476,0.29,0.043,0.393,0.08,0.046,0.0,0.199,0.201,0.039,0.063,0.027000000000000003,0.071,0.083,0.103,0.0,0.506,0.147,0.019,0.644,0.099,0.111,0.07400000000000001,0.039,0.0,0.014,0.12,0.071,0.024,0.051,0.419,0.187,0.127,0.0
2.0,0.076,0.0,0.077,0.083,0.086,0.114,0.141,0.423,0.014,0.086,0.0,0.061,0.5429999999999999,0.113,0.09,0.093,0.009000000000000001,0.037000000000000005,0.041,0.0,0.064,0.037000000000000005,0.393,0.419,0.059,0.416,0.09,0.053,0.0,0.103,0.241,0.039,0.051,0.133,0.11,0.081,0.249,0.0,0.237,0.139,0.016,0.653,0.08900000000000001,0.106,0.086,0.037000000000000005,0.0,0.014,0.11,0.06,0.004,0.039,0.643,0.107,0.037000000000000005,0.0
3.0,0.419,0.0,0.044,0.06,0.033,0.08900000000000001,0.263,0.093,0.039,0.109,0.0,0.066,0.469,0.11,0.094,0.114,0.014,0.017,0.014,0.0,0.071,0.0,0.071,0.8109999999999999,0.08900000000000001,0.243,0.103,0.07,0.0,0.073,0.337,0.086,0.009000000000000001,0.5589999999999999,0.093,0.043,0.149,0.0,0.066,0.083,0.011,0.659,0.083,0.11,0.086,0.037000000000000005,0.0,0.014,0.08,0.054000000000000006,0.01,0.034,0.55,0.227,0.044,0.0
4.0,0.657,0.0,0.046,0.06,0.02,0.123,0.016,0.079,0.026,0.381,0.0,0.02,0.073,0.059,0.057,0.384,0.264,0.071,0.039,0.0,0.091,0.047,0.139,0.349,0.139,0.09,0.16,0.114,0.0,0.13,0.21,0.157,0.031,0.41,0.111,0.064,0.194,0.0,0.11,0.079,0.014,0.6559999999999999,0.083,0.104,0.086,0.043,0.0,0.014,0.063,0.11,0.047,0.091,0.124,0.161,0.403,0.0
5.0,0.594,0.0,0.044,0.079,0.023,0.134,0.034,0.091,0.001,0.101,0.0,0.057,0.09,0.031,0.617,0.101,0.006,0.094,0.546,0.0,0.104,0.03,0.103,0.117,0.104,0.141,0.1,0.087,0.0,0.174,0.264,0.129,0.05,0.03,0.081,0.079,0.101,0.0,0.203,0.456,0.013,0.649,0.094,0.11,0.077,0.043,0.0,0.014,0.069,0.111,0.056,0.103,0.14300000000000002,0.247,0.271,0.0
6.0,0.606,0.0,0.043,0.064,0.03,0.14300000000000002,0.02,0.094,0.0,0.086,0.0,0.064,0.097,0.017,0.65,0.086,0.0,0.057,0.743,0.0,0.08,0.029,0.063,0.029,0.08,0.327,0.133,0.069,0.0,0.054000000000000006,0.26,0.077,0.057,0.046,0.113,0.123,0.174,0.0,0.41,0.077,0.383,0.289,0.069,0.049,0.079,0.049,0.0,0.084,0.036000000000000004,0.077,0.037000000000000005,0.067,0.403,0.159,0.221,0.0
7.0,0.6759999999999999,0.0,0.043,0.041,0.021,0.13,0.014,0.07400000000000001,0.034,0.166,0.0,0.086,0.127,0.06,0.374,0.153,0.0,0.057,0.743,0.0,0.071,0.029,0.071,0.029,0.141,0.086,0.16,0.13,0.0,0.11,0.226,0.147,0.05,0.054000000000000006,0.106,0.113,0.4270000000000001,0.0,0.154,0.096,0.044,0.64,0.059,0.099,0.066,0.073,0.0,0.02,0.054000000000000006,0.087,0.029,0.059,0.509,0.113,0.15,0.0
8.0,0.654,0.0,0.034,0.066,0.017,0.134,0.017,0.077,0.049,0.201,0.0,0.09,0.16699999999999998,0.093,0.12,0.28,0.0,0.057,0.743,0.0,0.071,0.029,0.071,0.029,0.11,0.053,0.1,0.09,0.0,0.064,0.513,0.07,0.067,0.134,0.141,0.101,0.251,0.0,0.184,0.12,0.027000000000000003,0.349,0.084,0.114,0.061,0.06,0.0,0.304,0.117,0.1,0.049,0.091,0.184,0.101,0.35700000000000004,0.0
9.0,0.687,0.0,0.029,0.056,0.014,0.129,0.014,0.071,0.011,0.123,0.0,0.07,0.226,0.084,0.313,0.173,0.0,0.057,0.741,0.0,0.073,0.029,0.07,0.03,0.194,0.073,0.14300000000000002,0.083,0.0,0.067,0.363,0.077,0.021,0.597,0.097,0.044,0.081,0.0,0.094,0.064,0.029,0.014,0.043,0.1,0.043,0.043,0.0,0.7290000000000001,0.083,0.121,0.054000000000000006,0.081,0.08900000000000001,0.313,0.259,0.0
