TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6
0.0,0.019,0.0,0.054000000000000006,0.343,0.28600000000000003,0.033,0.066,0.076,0.07400000000000001,0.0,0.32299999999999995,0.084,0.04,0.203,0.023,0.06,0.011,0.0,0.139,0.513,0.054000000000000006,0.033,0.054000000000000006,0.023,0.633,0.0,0.046,0.011,0.034,0.041,0.014,0.61,0.1,0.0,0.0,0.076,0.12,0.221,0.221,0.043,0.119,0.0
1.0,0.02,0.0,0.081,0.473,0.29600000000000004,0.034,0.096,0.129,0.149,0.0,0.114,0.139,0.081,0.389,0.029,0.071,0.014,0.0,0.171,0.644,0.07,0.096,0.054000000000000006,0.049,0.7390000000000001,0.0,0.051,0.011,0.14300000000000002,0.067,0.373,0.293,0.077,0.0,0.047,0.094,0.21,0.127,0.16,0.069,0.34,0.0
2.0,0.031,0.0,0.071,0.129,0.66,0.06,0.049,0.053,0.094,0.0,0.059,0.056,0.006999999999999999,0.731,0.029,0.071,0.014,0.0,0.171,0.643,0.071,0.053,0.057,0.044,0.774,0.0,0.057,0.014,0.586,0.073,0.099,0.107,0.041,0.0,0.094,0.111,0.227,0.14,0.151,0.08,0.29,0.0
3.0,0.029,0.0,0.091,0.13,0.634,0.056,0.06,0.059,0.091,0.0,0.06,0.071,0.006999999999999999,0.711,0.029,0.099,0.014,0.0,0.163,0.643,0.053,0.057,0.057,0.047,0.769,0.0,0.057,0.013,0.614,0.071,0.086,0.1,0.043,0.0,0.086,0.09,0.194,0.119,0.126,0.07400000000000001,0.397,0.0
4.0,0.029,0.0,0.07400000000000001,0.129,0.657,0.061,0.05,0.046,0.086,0.0,0.057,0.057,0.006,0.7490000000000001,0.029,0.097,0.014,0.0,0.16699999999999998,0.637,0.056,0.08900000000000001,0.049,0.051,0.746,0.0,0.049,0.017,0.08900000000000001,0.103,0.111,0.53,0.111,0.0,0.056,0.037000000000000005,0.147,0.094,0.059,0.049,0.614,0.0
5.0,0.03,0.0,0.071,0.14400000000000002,0.634,0.063,0.057,0.053,0.094,0.0,0.057,0.051,0.006999999999999999,0.737,0.029,0.076,0.014,0.0,0.171,0.643,0.067,0.056,0.056,0.051,0.763,0.0,0.056,0.019,0.231,0.124,0.18600000000000005,0.233,0.119,0.0,0.107,0.08,0.15,0.119,0.1,0.07,0.481,0.0
6.0,0.029,0.0,0.077,0.129,0.6629999999999999,0.046,0.057,0.043,0.096,0.0,0.057,0.034,0.0,0.77,0.029,0.073,0.014,0.0,0.171,0.643,0.07,0.05,0.057,0.043,0.779,0.0,0.057,0.014,0.614,0.071,0.086,0.086,0.054000000000000006,0.0,0.08900000000000001,0.077,0.124,0.08900000000000001,0.043,0.057,0.61,0.0
7.0,0.027000000000000003,0.0,0.119,0.174,0.5329999999999999,0.064,0.083,0.046,0.081,0.0,0.059,0.051,0.0,0.763,0.029,0.083,0.014,0.0,0.171,0.643,0.06,0.061,0.059,0.041,0.774,0.0,0.057,0.006999999999999999,0.614,0.071,0.086,0.086,0.056,0.0,0.087,0.054000000000000006,0.123,0.131,0.031,0.059,0.601,0.0
8.0,0.029,0.0,0.093,0.129,0.6409999999999999,0.049,0.06,0.181,0.141,0.0,0.087,0.129,0.067,0.394,0.029,0.073,0.014,0.0,0.171,0.644,0.069,0.184,0.077,0.053,0.596,0.0,0.067,0.023,0.616,0.076,0.08,0.086,0.057,0.0,0.086,0.053,0.119,0.12,0.031,0.06,0.617,0.0
9.0,0.029,0.0,0.116,0.15,0.569,0.06,0.077,0.171,0.14300000000000002,0.0,0.069,0.076,0.046,0.496,0.029,0.07400000000000001,0.07,0.0,0.161,0.599,0.067,0.07400000000000001,0.151,0.136,0.38,0.0,0.206,0.053,0.339,0.057,0.056,0.409,0.084,0.0,0.056,0.051,0.127,0.157,0.03,0.069,0.5660000000000001,0.0
10.0,0.024,0.0,0.131,0.34700000000000003,0.33,0.061,0.106,0.043,0.086,0.0,0.057,0.054000000000000006,0.0,0.76,0.033,0.153,0.267,0.0,0.16399999999999998,0.303,0.08,0.033,0.073,0.1,0.124,0.0,0.599,0.071,0.614,0.071,0.086,0.086,0.057,0.0,0.086,0.097,0.11,0.18600000000000005,0.053,0.07400000000000001,0.48,0.0
11.0,0.08,0.0,0.103,0.429,0.257,0.03,0.101,0.043,0.086,0.0,0.057,0.044,0.0,0.77,0.041,0.203,0.274,0.0,0.194,0.191,0.096,0.029,0.057,0.086,0.1,0.0,0.65,0.079,0.613,0.071,0.086,0.087,0.057,0.0,0.086,0.094,0.103,0.407,0.079,0.07,0.247,0.0
12.0,0.123,0.0,0.1,0.15,0.496,0.061,0.07,0.043,0.086,0.0,0.057,0.043,0.0,0.7709999999999999,0.029,0.093,0.636,0.0,0.057,0.124,0.061,0.034,0.053,0.06,0.279,0.0,0.519,0.056,0.614,0.073,0.084,0.086,0.057,0.0,0.086,0.099,0.157,0.16899999999999998,0.097,0.077,0.401,0.0
13.0,0.024,0.0,0.1,0.307,0.421,0.057,0.09,0.043,0.086,0.0,0.057,0.043,0.0,0.7709999999999999,0.029,0.059,0.631,0.0,0.086,0.139,0.057,0.029,0.057,0.086,0.101,0.0,0.649,0.079,0.489,0.063,0.07400000000000001,0.23,0.063,0.0,0.081,0.08900000000000001,0.161,0.14300000000000002,0.126,0.086,0.396,0.0
14.0,0.024,0.0,0.084,0.226,0.534,0.056,0.076,0.043,0.091,0.0,0.057,0.037000000000000005,0.0,0.7709999999999999,0.021,0.099,0.079,0.0,0.173,0.55,0.079,0.029,0.057,0.081,0.113,0.0,0.657,0.063,0.614,0.071,0.086,0.086,0.057,0.0,0.086,0.076,0.14400000000000002,0.127,0.103,0.077,0.473,0.0
15.0,0.029,0.0,0.09,0.1,0.304,0.2,0.277,0.031,0.07400000000000001,0.0,0.046,0.037000000000000005,0.12,0.691,0.029,0.084,0.014,0.0,0.18,0.637,0.056,0.033,0.066,0.077,0.101,0.0,0.6629999999999999,0.06,0.611,0.08,0.077,0.086,0.057,0.0,0.08900000000000001,0.106,0.16,0.133,0.141,0.086,0.374,0.0
16.0,0.061,0.0,0.067,0.071,0.594,0.133,0.073,0.04,0.087,0.0,0.054000000000000006,0.037000000000000005,0.03,0.7509999999999999,0.031,0.121,0.066,0.0,0.189,0.53,0.063,0.029,0.059,0.083,0.106,0.0,0.657,0.067,0.614,0.071,0.086,0.086,0.057,0.0,0.086,0.08900000000000001,0.159,0.14,0.13699999999999998,0.091,0.384,0.0
17.0,0.027000000000000003,0.0,0.06,0.08900000000000001,0.684,0.061,0.079,0.043,0.093,0.0,0.057,0.036000000000000004,0.0,0.7709999999999999,0.017,0.649,0.133,0.0,0.093,0.079,0.03,0.026,0.069,0.079,0.124,0.0,0.647,0.056,0.614,0.071,0.086,0.086,0.057,0.0,0.086,0.097,0.157,0.134,0.123,0.083,0.406,0.0
18.0,0.027000000000000003,0.0,0.07400000000000001,0.1,0.63,0.093,0.076,0.08900000000000001,0.107,0.0,0.173,0.086,0.03,0.516,0.014,0.773,0.067,0.0,0.064,0.063,0.019,0.027000000000000003,0.07,0.079,0.123,0.0,0.6459999999999999,0.056,0.619,0.076,0.077,0.08900000000000001,0.054000000000000006,0.0,0.086,0.101,0.157,0.139,0.129,0.086,0.389,0.0
19.0,0.021,0.0,0.046,0.746,0.027000000000000003,0.033,0.127,0.156,0.123,0.0,0.08900000000000001,0.109,0.061,0.463,0.027000000000000003,0.727,0.08,0.0,0.066,0.079,0.021,0.043,0.071,0.069,0.107,0.0,0.643,0.067,0.611,0.086,0.07,0.097,0.05,0.0,0.086,0.14,0.141,0.161,0.184,0.09,0.28300000000000003,0.0
20.0,0.016,0.0,0.15,0.23,0.226,0.257,0.121,0.271,0.18600000000000005,0.0,0.087,0.126,0.163,0.16699999999999998,0.016,0.687,0.07400000000000001,0.0,0.087,0.109,0.027000000000000003,0.031,0.067,0.083,0.097,0.0,0.654,0.067,0.59,0.09,0.083,0.106,0.043,0.0,0.08900000000000001,0.103,0.141,0.123,0.084,0.067,0.481,0.0
21.0,0.027000000000000003,0.0,0.107,0.123,0.486,0.183,0.07400000000000001,0.483,0.163,0.0,0.06,0.07400000000000001,0.123,0.097,0.023,0.344,0.113,0.0,0.139,0.306,0.076,0.029,0.07,0.083,0.096,0.0,0.6509999999999999,0.071,0.077,0.107,0.486,0.16,0.059,0.0,0.111,0.113,0.174,0.141,0.14,0.081,0.35,0.0
22.0,0.029,0.0,0.083,0.129,0.649,0.054000000000000006,0.057,0.5870000000000001,0.171,0.0,0.043,0.057,0.07,0.071,0.027000000000000003,0.046,0.027000000000000003,0.0,0.36,0.449,0.091,0.027000000000000003,0.056,0.081,0.119,0.0,0.653,0.064,0.117,0.189,0.207,0.159,0.103,0.0,0.226,0.104,0.163,0.139,0.129,0.079,0.387,0.0
23.0,0.039,0.0,0.147,0.16,0.32299999999999995,0.217,0.114,0.25,0.447,0.0,0.057,0.084,0.09,0.071,0.019,0.026,0.039,0.0,0.499,0.326,0.093,0.029,0.057,0.08,0.119,0.0,0.6559999999999999,0.06,0.094,0.159,0.341,0.184,0.064,0.0,0.157,0.109,0.117,0.194,0.15,0.093,0.337,0.0
