TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
0.0,0.034,0.0,0.06,0.011,0.07,0.076,0.023,0.526,0.043,0.006999999999999999,0.0,0.059,0.067,0.084,0.59,0.05,0.276,0.076,0.231,0.0,0.076,0.036000000000000004,0.037000000000000005,0.069,0.417,0.071,0.16899999999999998,0.086,0.0,0.03,0.011,0.016,0.28,0.104,0.084,0.036000000000000004,0.076,0.0,0.133,0.087,0.023,0.046,0.503,0.086,0.069,0.034,0.0,0.04,0.013,0.021,0.077,0.06,0.481,0.103,0.044,0.0
1.0,0.057,0.0,0.069,0.014,0.086,0.08900000000000001,0.029,0.657,0.043,0.0,0.0,0.057,0.071,0.086,0.7,0.043,0.46,0.121,0.107,0.0,0.121,0.059,0.053,0.079,0.556,0.08900000000000001,0.189,0.106,0.0,0.031,0.016,0.014,0.124,0.456,0.119,0.046,0.07400000000000001,0.0,0.104,0.077,0.029,0.044,0.629,0.113,0.086,0.044,0.0,0.056,0.037000000000000005,0.044,0.053,0.637,0.119,0.063,0.047,0.0
2.0,0.056,0.0,0.069,0.014,0.087,0.08900000000000001,0.029,0.657,0.053,0.023,0.0,0.07400000000000001,0.09,0.107,0.579,0.07400000000000001,0.5539999999999999,0.116,0.051,0.0,0.101,0.056,0.059,0.063,0.551,0.107,0.18,0.1,0.0,0.031,0.014,0.016,0.054000000000000006,0.493,0.09,0.051,0.184,0.0,0.066,0.061,0.029,0.043,0.629,0.114,0.086,0.046,0.0,0.054000000000000006,0.07,0.097,0.249,0.303,0.097,0.071,0.113,0.0
3.0,0.057,0.0,0.07,0.014,0.086,0.087,0.029,0.657,0.043,0.0,0.0,0.057,0.071,0.086,0.7,0.043,0.52,0.121,0.06,0.0,0.113,0.057,0.066,0.063,0.557,0.096,0.177,0.107,0.0,0.033,0.014,0.016,0.18600000000000005,0.183,0.156,0.076,0.11,0.0,0.184,0.106,0.029,0.043,0.629,0.114,0.086,0.043,0.0,0.057,0.214,0.1,0.349,0.103,0.066,0.046,0.123,0.0
4.0,0.046,0.0,0.071,0.014,0.097,0.086,0.029,0.657,0.044,0.0,0.0,0.056,0.071,0.086,0.7,0.043,0.503,0.103,0.049,0.0,0.093,0.053,0.066,0.134,0.5770000000000001,0.106,0.17,0.09,0.0,0.029,0.014,0.014,0.14400000000000002,0.304,0.13,0.091,0.08900000000000001,0.0,0.153,0.08900000000000001,0.03,0.053,0.586,0.107,0.123,0.043,0.0,0.059,0.243,0.129,0.257,0.104,0.081,0.057,0.129,0.0
5.0,0.047,0.0,0.064,0.014,0.099,0.09,0.029,0.657,0.053,0.0,0.0,0.047,0.071,0.086,0.7,0.043,0.3670000000000001,0.101,0.061,0.0,0.081,0.047,0.101,0.24,0.579,0.101,0.166,0.097,0.0,0.029,0.014,0.014,0.193,0.187,0.13699999999999998,0.096,0.094,0.0,0.191,0.101,0.029,0.043,0.621,0.121,0.086,0.057,0.0,0.043,0.303,0.107,0.28300000000000003,0.08,0.067,0.044,0.116,0.0
6.0,0.046,0.0,0.071,0.014,0.097,0.086,0.029,0.657,0.051,0.0,0.0,0.049,0.071,0.086,0.7,0.043,0.46,0.129,0.064,0.0,0.086,0.057,0.08900000000000001,0.116,0.586,0.087,0.17,0.1,0.0,0.029,0.014,0.014,0.127,0.087,0.181,0.063,0.297,0.0,0.156,0.08900000000000001,0.029,0.043,0.623,0.12,0.086,0.057,0.0,0.043,0.429,0.081,0.317,0.043,0.027000000000000003,0.021,0.081,0.0
7.0,0.057,0.0,0.071,0.014,0.086,0.086,0.029,0.657,0.043,0.0,0.0,0.057,0.071,0.086,0.7,0.043,0.541,0.119,0.059,0.0,0.109,0.057,0.056,0.06,0.586,0.086,0.171,0.1,0.0,0.029,0.014,0.014,0.103,0.067,0.073,0.046,0.506,0.0,0.111,0.094,0.029,0.043,0.616,0.127,0.086,0.057,0.0,0.043,0.234,0.057,0.51,0.041,0.034,0.026,0.097,0.0
8.0,0.05,0.0,0.07,0.014,0.093,0.087,0.029,0.657,0.071,0.094,0.0,0.133,0.083,0.091,0.271,0.256,0.564,0.116,0.057,0.0,0.104,0.053,0.047,0.059,0.5770000000000001,0.094,0.171,0.1,0.0,0.029,0.014,0.014,0.14,0.073,0.106,0.066,0.35700000000000004,0.0,0.13,0.129,0.029,0.043,0.629,0.114,0.086,0.057,0.0,0.043,0.47,0.119,0.226,0.02,0.014,0.031,0.12,0.0
9.0,0.053,0.0,0.066,0.014,0.093,0.08900000000000001,0.029,0.657,0.5710000000000001,0.06,0.0,0.13699999999999998,0.066,0.061,0.046,0.059,0.537,0.113,0.066,0.0,0.103,0.051,0.057,0.073,0.57,0.083,0.194,0.094,0.0,0.03,0.014,0.014,0.171,0.1,0.094,0.077,0.34,0.0,0.097,0.12,0.029,0.049,0.619,0.106,0.099,0.046,0.0,0.054000000000000006,0.601,0.134,0.083,0.009000000000000001,0.014,0.033,0.126,0.0
