TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
0.0,0.004,0.0,0.027000000000000003,0.027000000000000003,0.011,0.659,0.041,0.03,0.011,0.033,0.0,0.04,0.054000000000000006,0.5710000000000001,0.069,0.021,0.0,0.099,0.062,0.0,0.233,0.241,0.108,0.057,0.004,0.01,0.01,0.006,0.0,0.76,0.01,0.0,0.024,0.051,0.282,0.049,0.146,0.0,0.235,0.013,0.009000000000000001,0.404,0.067,0.026,0.053,0.21600000000000005,0.0,0.026,0.006999999999999999,0.021,0.016,0.003,0.009000000000000001,0.723,0.021,0.0
1.0,0.014,0.0,0.054000000000000006,0.029,0.021,0.7829999999999999,0.044,0.054000000000000006,0.014,0.029,0.0,0.056,0.067,0.716,0.09,0.029,0.0,0.029,0.054000000000000006,0.0,0.443,0.271,0.117,0.086,0.013,0.304,0.033,0.03,0.0,0.547,0.063,0.01,0.034,0.026,0.35200000000000004,0.051,0.287,0.0,0.237,0.013,0.0,0.6,0.07,0.014,0.059,0.229,0.0,0.029,0.036000000000000004,0.056,0.073,0.013,0.054000000000000006,0.6829999999999999,0.086,0.0
2.0,0.013,0.0,0.056,0.044,0.004,0.7340000000000001,0.083,0.066,0.029,0.049,0.0,0.051,0.069,0.6940000000000001,0.081,0.027000000000000003,0.014,0.03,0.129,0.0,0.516,0.096,0.135,0.08,0.014,0.601,0.07200000000000001,0.047,0.0,0.116,0.126,0.023,0.064,0.14300000000000002,0.128,0.039,0.426,0.0,0.196,0.004,0.016,0.604,0.136,0.037000000000000005,0.081,0.09,0.0,0.036000000000000004,0.049,0.547,0.059,0.056,0.091,0.14,0.058,0.0
3.0,0.0,0.0,0.043,0.057,0.0,0.7290000000000001,0.1,0.071,0.029,0.063,0.0,0.057,0.049,0.684,0.093,0.026,0.017,0.119,0.139,0.0,0.1,0.187,0.386,0.051,0.009000000000000001,0.396,0.071,0.033,0.0,0.369,0.103,0.02,0.05,0.219,0.225,0.046,0.199,0.0,0.248,0.014,0.0,0.687,0.134,0.014,0.071,0.064,0.0,0.029,0.029,0.514,0.152,0.059,0.086,0.094,0.067,0.0
4.0,0.0,0.0,0.047,0.057,0.006,0.7290000000000001,0.09,0.071,0.071,0.124,0.0,0.08900000000000001,0.097,0.501,0.084,0.033,0.02,0.403,0.096,0.0,0.087,0.189,0.162,0.043,0.011,0.493,0.069,0.036000000000000004,0.0,0.257,0.111,0.023,0.066,0.174,0.138,0.041,0.273,0.0,0.299,0.009000000000000001,0.039,0.461,0.139,0.08900000000000001,0.117,0.107,0.0,0.049,0.057,0.096,0.233,0.053,0.107,0.07,0.385,0.0
5.0,0.0,0.0,0.054000000000000006,0.057,0.017,0.7290000000000001,0.07400000000000001,0.069,0.071,0.484,0.0,0.071,0.067,0.17600000000000002,0.076,0.054000000000000006,0.014,0.217,0.232,0.0,0.157,0.119,0.215,0.046,0.011,0.456,0.08,0.037000000000000005,0.0,0.28600000000000003,0.11,0.02,0.047,0.244,0.111,0.053,0.183,0.0,0.361,0.001,0.0,0.6759999999999999,0.163,0.013,0.069,0.054000000000000006,0.0,0.026,0.036000000000000004,0.066,0.514,0.031,0.097,0.07,0.18600000000000005,0.0
6.0,0.001,0.0,0.044,0.056,0.027000000000000003,0.7290000000000001,0.071,0.071,0.083,0.129,0.0,0.059,0.309,0.29600000000000004,0.084,0.041,0.0,0.034,0.097,0.0,0.593,0.064,0.13,0.081,0.014,0.583,0.079,0.05,0.0,0.134,0.12,0.02,0.069,0.077,0.102,0.067,0.24,0.0,0.439,0.006,0.014,0.6890000000000001,0.124,0.014,0.073,0.057,0.0,0.029,0.026,0.043,0.613,0.029,0.103,0.071,0.115,0.0
7.0,0.013,0.0,0.05,0.047,0.039,0.727,0.06,0.064,0.057,0.029,0.0,0.057,0.664,0.094,0.07,0.029,0.009000000000000001,0.036000000000000004,0.172,0.0,0.52,0.076,0.121,0.067,0.013,0.493,0.081,0.043,0.0,0.234,0.116,0.02,0.036000000000000004,0.023,0.353,0.053,0.256,0.0,0.27,0.01,0.024,0.67,0.14,0.011,0.08,0.051,0.0,0.023,0.033,0.077,0.513,0.049,0.123,0.073,0.132,0.0
8.0,0.004,0.0,0.084,0.054000000000000006,0.021,0.7190000000000001,0.07400000000000001,0.043,0.057,0.029,0.0,0.057,0.6709999999999999,0.096,0.061,0.029,0.026,0.029,0.6709999999999999,0.0,0.057,0.094,0.095,0.029,0.014,0.526,0.119,0.049,0.0,0.119,0.149,0.026,0.069,0.064,0.135,0.031,0.466,0.0,0.234,0.001,0.043,0.13,0.311,0.209,0.046,0.249,0.0,0.013,0.029,0.051,0.622,0.031,0.086,0.057,0.124,0.0
9.0,0.003,0.0,0.083,0.056,0.014,0.7190000000000001,0.084,0.041,0.057,0.029,0.0,0.061,0.6709999999999999,0.093,0.06,0.029,0.029,0.029,0.672,0.0,0.057,0.08900000000000001,0.096,0.029,0.014,0.564,0.114,0.057,0.0,0.066,0.156,0.029,0.076,0.077,0.109,0.031,0.467,0.0,0.234,0.006,0.01,0.5660000000000001,0.329,0.001,0.059,0.031,0.0,0.004,0.033,0.073,0.574,0.049,0.08900000000000001,0.057,0.126,0.0
