TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
0.0,0.021,0.0,0.057,0.034,0.01,0.064,0.046,0.5670000000000001,0.041,0.391,0.0,0.031,0.0,0.009000000000000001,0.003,0.324,0.111,0.023,0.377,0.0,0.013,0.071,0.009000000000000001,0.196,0.033,0.017,0.017,0.24,0.0,0.046,0.05,0.397,0.083,0.046,0.069,0.021,0.023,0.0,0.034,0.524,0.069,0.039,0.023,0.053,0.046,0.034,0.0,0.537,0.299,0.364,0.023,0.011,0.046,0.046,0.011,0.0
1.0,0.013,0.0,0.071,0.039,0.014,0.083,0.056,0.7240000000000001,0.07,0.634,0.0,0.07,0.009000000000000001,0.016,0.016,0.18600000000000005,0.056,0.014,0.644,0.0,0.004,0.099,0.006,0.177,0.057,0.047,0.12,0.156,0.0,0.08,0.096,0.444,0.131,0.083,0.104,0.07,0.036000000000000004,0.0,0.084,0.491,0.086,0.043,0.037000000000000005,0.071,0.057,0.043,0.0,0.6629999999999999,0.29,0.496,0.041,0.033,0.06,0.061,0.019,0.0
2.0,0.0,0.0,0.071,0.029,0.014,0.086,0.057,0.743,0.094,0.736,0.0,0.1,0.014,0.021,0.029,0.006,0.071,0.1,0.411,0.0,0.039,0.26,0.077,0.041,0.081,0.043,0.431,0.107,0.0,0.099,0.107,0.131,0.1,0.33,0.131,0.104,0.047,0.0,0.19,0.097,0.086,0.043,0.043,0.071,0.057,0.04,0.0,0.66,0.14300000000000002,0.316,0.269,0.103,0.073,0.061,0.036000000000000004,0.0
3.0,0.0,0.0,0.071,0.031,0.019,0.086,0.057,0.736,0.08900000000000001,0.743,0.0,0.094,0.014,0.029,0.014,0.017,0.051,0.069,0.41,0.0,0.031,0.154,0.073,0.211,0.08,0.059,0.15,0.103,0.0,0.121,0.113,0.374,0.083,0.031,0.001,0.036000000000000004,0.017,0.0,0.613,0.219,0.086,0.043,0.043,0.071,0.057,0.034,0.0,0.6659999999999999,0.044,0.127,0.409,0.194,0.096,0.086,0.044,0.0
4.0,0.0,0.0,0.071,0.029,0.019,0.086,0.057,0.7390000000000001,0.067,0.5770000000000001,0.0,0.054000000000000006,0.004,0.024,0.004,0.269,0.054000000000000006,0.07400000000000001,0.09,0.0,0.163,0.183,0.101,0.334,0.054000000000000006,0.034,0.09,0.194,0.0,0.053,0.054000000000000006,0.52,0.053,0.221,0.011,0.043,0.027000000000000003,0.0,0.319,0.326,0.086,0.043,0.043,0.071,0.057,0.029,0.0,0.6709999999999999,0.04,0.099,0.509,0.179,0.063,0.081,0.03,0.0
5.0,0.0,0.0,0.043,0.023,0.01,0.054000000000000006,0.039,0.831,0.057,0.503,0.0,0.043,0.0,0.026,0.0,0.371,0.029,0.054000000000000006,0.047,0.0,0.039,0.101,0.069,0.6609999999999999,0.023,0.02,0.036000000000000004,0.026,0.0,0.033,0.044,0.8190000000000001,0.029,0.529,0.029,0.047,0.033,0.0,0.024,0.31,0.053,0.031,0.026,0.043,0.043,0.023,0.0,0.7809999999999999,0.036000000000000004,0.11,0.241,0.106,0.073,0.084,0.35,0.0
6.0,0.0,0.0,0.06,0.029,0.014,0.086,0.057,0.754,0.069,0.626,0.0,0.07,0.009000000000000001,0.024,0.016,0.187,0.021,0.054000000000000006,0.084,0.0,0.124,0.11,0.097,0.509,0.054000000000000006,0.043,0.07,0.263,0.0,0.076,0.096,0.399,0.066,0.419,0.051,0.073,0.047,0.0,0.08,0.264,0.096,0.04,0.043,0.051,0.043,0.049,0.0,0.679,0.041,0.117,0.104,0.106,0.336,0.204,0.091,0.0
7.0,0.0,0.0,0.083,0.037000000000000005,0.017,0.084,0.057,0.721,0.066,0.61,0.0,0.067,0.006999999999999999,0.019,0.013,0.219,0.033,0.064,0.079,0.0,0.2,0.14,0.113,0.371,0.067,0.03,0.101,0.316,0.0,0.059,0.044,0.383,0.097,0.096,0.061,0.14,0.063,0.0,0.157,0.386,0.13,0.037000000000000005,0.04,0.049,0.027000000000000003,0.051,0.0,0.6659999999999999,0.011,0.069,0.033,0.04,0.607,0.211,0.029,0.0
8.0,0.034,0.0,0.076,0.033,0.011,0.077,0.057,0.711,0.064,0.534,0.0,0.049,0.003,0.021,0.004,0.324,0.021,0.039,0.04,0.0,0.28300000000000003,0.081,0.084,0.451,0.057,0.04,0.109,0.066,0.0,0.061,0.053,0.614,0.066,0.043,0.054000000000000006,0.07400000000000001,0.039,0.0,0.363,0.361,0.109,0.041,0.043,0.041,0.029,0.049,0.0,0.6890000000000001,0.011,0.064,0.021,0.053,0.716,0.099,0.036000000000000004,0.0
9.0,0.284,0.0,0.064,0.026,0.006999999999999999,0.079,0.04,0.5,0.081,0.6609999999999999,0.0,0.08,0.01,0.021,0.02,0.126,0.041,0.06,0.07,0.0,0.34700000000000003,0.136,0.096,0.25,0.07,0.039,0.093,0.069,0.0,0.08,0.056,0.594,0.09,0.069,0.101,0.13,0.13699999999999998,0.0,0.129,0.344,0.4270000000000001,0.08900000000000001,0.097,0.036000000000000004,0.026,0.039,0.0,0.287,0.019,0.079,0.051,0.051,0.379,0.087,0.334,0.0
